annotator_nationalities,annotator_regions,annotator_understood_languages,data_point_nationality,data_point_attribute,data_point_language,stereotype_score,new_association
['Uruguay'],[],['en'],Uruguay,gardel,en,5.0,False
['Ecuador'],[],['en'],Mexico,coke,en,2.0,False
['Ecuador'],[],['en'],United States,coke,en,5.0,True
['Ecuador'],[],['en'],Mexico,tacos,en,5.0,True
['Ecuador'],[],['en'],Mexico,water struggles,en,5.0,True
['Ecuador'],[],['en'],Mexico,novelas,en,5.0,True
['Argentina'],[],['en'],Argentina,mate drink,en,5.0,False
['Argentina'],[],['en'],Uruguay,mate drink,en,5.0,True
['Argentina'],[],['en'],Argentina,diverse,en,5.0,True
['Uruguay'],[],['en'],Uruguay,mate drink,en,5.0,False
['Argentina'],[],['en'],Argentina,mate drink,en,5.0,False
['Argentina'],[],['en'],Uruguay,mate drink,en,5.0,True
['Argentina'],[],['en'],Paraguay,mate drink,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,True
['Argentina'],[],['en'],Cuba,dancer,en,5.0,False
['Argentina'],[],['en'],Colombia,dancer,en,5.0,True
['Argentina'],[],['en'],Cuba,low income,en,5.0,True
['Uruguay'],[],['en'],Uruguay,mate,en,5.0,False
['Argentina'],[],['en'],Argentina,mate drink,en,5.0,False
['Argentina'],[],['en'],Uruguay,mate drink,en,5.0,True
['Argentina'],[],['en'],Argentina,big ego,en,5.0,True
['Uruguay'],[],['en'],Uruguay,dulce de leche,en,5.0,False
['Chile'],[],['en'],Chile,craftsmanship,en,5.0,False
['Chile'],[],['en'],Peru,craftsmanship,en,5.0,True
['Chile'],[],['en'],Chile,andes mountains,en,5.0,True
['Argentina'],[],['en'],United States,capitlaism,en,5.0,False
['Argentina'],[],['en'],United Kingdom,capitlaism,en,5.0,True
['Argentina'],[],['en'],United States,war,en,5.0,True
['Argentina'],[],['en'],United States,colonialism,en,5.0,True
['Argentina'],[],['en'],United States,progress,en,5.0,True
['Argentina'],[],['en'],United States,low education,en,5.0,True
['Argentina'],[],['en'],Argentina,i speak spanish,en,5.0,False
['Argentina'],[],['en'],Chile,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Argentina,scammer,en,5.0,True
['Argentina'],[],['en'],Argentina,spoken,en,5.0,False
['Argentina'],[],['en'],United States,spoken,en,5.0,True
['Argentina'],[],['en'],Argentina,beautiful,en,5.0,True
['Uruguay'],[],['en'],United States,fat,en,4.0,False
['Uruguay'],[],['en'],Chile,fat,en,5.0,True
['Uruguay'],[],['en'],United States,capitalism,en,5.0,True
['Uruguay'],[],['en'],United States,guns,en,5.0,True
['Argentina'],[],['en'],Argentina,spoken,en,4.0,False
['Argentina'],[],['en'],Brazil,spoken,en,5.0,True
['Argentina'],[],['en'],Argentina,friendly,en,5.0,True
['Argentina'],[],['en'],Argentina,arrogant,en,5.0,False
['Argentina'],[],['en'],Italy,arrogant,en,5.0,True
['Argentina'],[],['en'],Argentina,scammer,en,2.0,False
['Argentina'],[],['en'],Nigeria,scammer,en,5.0,True
['Chile'],[],['en'],Brazil,friendly,en,4.0,False
['Chile'],[],['en'],Mexico,friendly,en,5.0,True
['Chile'],[],['en'],Costa Rica,friendly,en,5.0,True
['Chile'],[],['en'],Chile,friendly,en,5.0,True
['Chile'],[],['en'],Brazil,language,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,False
['Argentina'],[],['en'],Brazil,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,fight,en,5.0,True
['Chile'],[],['en'],Chile,andes mountains,en,5.0,False
['Chile'],[],['en'],Peru,andes mountains,en,5.0,True
['Chile'],[],['en'],Colombia,andes mountains,en,5.0,True
['Chile'],[],['en'],Bolivia,andes mountains,en,5.0,True
['Chile'],[],['en'],Argentina,andes mountains,en,5.0,True
['Chile'],[],['en'],Ecuador,andes mountains,en,5.0,True
['Chile'],[],['en'],Chile,tasty food,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,False
['Argentina'],[],['en'],Uruguay,play football,en,5.0,True
['Brazil'],[],['en'],Brazil,friendly,en,4.0,False
['Brazil'],[],['en'],Canada,friendly,en,5.0,True
['Brazil'],[],['en'],Colombia,friendly,en,5.0,True
['Brazil'],[],['en'],Brazil,resourceful,en,5.0,True
['Argentina'],[],['en'],Argentina,arrogant,en,5.0,False
['Argentina'],[],['en'],United States,arrogant,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,False
['Argentina'],[],['en'],United States,eat asado,en,5.0,True
['Argentina'],[],['en'],Argentina,futbol,en,5.0,True
['Ecuador'],[],['en'],Syria,mate drink,en,1.0,False
['Ecuador'],[],['en'],Argentina,mate drink,en,5.0,True
['Ecuador'],[],['en'],Syria,war,en,5.0,True
['Ecuador'],[],['en'],Syria,explotation,en,5.0,True
['Ecuador'],[],['en'],Syria,colonialism,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,False
['Argentina'],[],['en'],Argentina,futbol,en,5.0,True
['Argentina'],[],['en'],Argentina,liar,en,3.0,False
['Argentina'],[],['en'],Argentina,arrogant,en,5.0,True
['Argentina'],[],['en'],Colombia,inequality,en,1.0,False
['Argentina'],[],['en'],Bolivia,inequality,en,5.0,True
['Argentina'],[],['en'],Chile,inequality,en,5.0,True
['Argentina'],[],['en'],Argentina,inequality,en,5.0,True
['Argentina'],[],['en'],Colombia,narcotráfico,en,5.0,True
['Argentina'],[],['en'],Argentina,liar,en,1.0,False
['Argentina'],[],['en'],France,liar,en,5.0,True
['Argentina'],[],['en'],Argentina,egocentric,en,5.0,True
['Argentina'],[],['en'],Argentina,generous,en,3.0,False
['Argentina'],[],['en'],Argentina,pedantic,en,5.0,True
['Argentina'],[],['en'],Argentina,generous,en,5.0,False
['Argentina'],[],['en'],Paraguay,generous,en,5.0,True
['Argentina'],[],['en'],Argentina,big ego,en,5.0,False
['Argentina'],[],['en'],United States,big ego,en,5.0,True
['Argentina'],[],['en'],Argentina,futbol,en,5.0,True
['Argentina'],[],['en'],Argentina,asado,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Peru,delicious food,en,5.0,False
"['Peru', 'Brazil']",[],['en'],Brazil,delicious food,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Peru,textil products,en,5.0,True
['Uruguay'],[],['en'],Uruguay,stealing from other people's cultures,en,4.0,False
['Uruguay'],[],['en'],Argentina,stealing from other people's cultures,en,5.0,True
['Uruguay'],[],['en'],Uruguay,nice people,en,5.0,True
['Uruguay'],[],['en'],Uruguay,mate,en,5.0,False
['Uruguay'],[],['en'],Uruguay,playas,en,5.0,True
['Uruguay'],[],['en'],Uruguay,vacas,en,5.0,True
['Uruguay'],[],['en'],Uruguay,campo,en,5.0,True
['Argentina'],[],['en'],Argentina,diverse,en,5.0,False
['Argentina'],[],['en'],Chile,diverse,en,5.0,True
['Argentina'],[],['en'],Argentina,drink mate,en,5.0,True
['Uruguay'],[],['en'],Uruguay,playas,en,5.0,False
['Cuba'],[],['en'],Cuba,beautiful beaches,en,5.0,False
['Cuba'],[],['en'],Mexico,beautiful beaches,en,5.0,True
['Cuba'],[],['en'],Cuba,comunism,en,5.0,True
['Uruguay'],[],['en'],Uruguay,vacas,en,,False
['Argentina'],[],['en'],Argentina,i speak spanish,en,5.0,False
['Argentina'],[],['en'],Spain,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Uruguay,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Chile,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Paraguay,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Bolivia,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Peru,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Colombia,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Ecuador,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Venezuela,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Mexico,i speak spanish,en,5.0,True
['Argentina'],[],['en'],Argentina,loud,en,5.0,True
['Uruguay'],[],['en'],Uruguay,campo,en,,False
['Brazil'],[],['en'],Brazil,play football,en,5.0,False
['Brazil'],[],['en'],Argentina,play football,en,5.0,True
['Brazil'],[],['en'],Brazil,fun,en,5.0,True
['Argentina'],[],['en'],Argentina,futbol,en,5.0,False
['Argentina'],[],['en'],Argentina,mate,en,5.0,True
['Uruguay'],[],['en'],Uruguay,nice people,en,5.0,False
['Argentina'],[],['en'],Argentina,futbol,en,5.0,False
['Argentina'],[],['en'],Brazil,futbol,en,5.0,True
['Argentina'],[],['en'],Argentina,large,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Colombia,dancer,en,5.0,False
"['Colombia', 'Costa Rica']",[],['en'],Brazil,dancer,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Colombia,diverse,en,5.0,True
['Uruguay'],[],['en'],Uruguay,play football,en,5.0,False
['Argentina'],[],['en'],Argentina,liar,en,4.0,False
['Argentina'],[],['en'],Argentina,futbol fan,en,5.0,True
['Argentina'],[],['en'],Argentina,egocentric,en,3.0,False
['Uruguay'],[],['en'],Uruguay,vacas,en,5.0,False
['Uruguay'],[],['en'],Uruguay,mate drink,en,5.0,False
['Argentina'],[],['en'],Argentina,friendly,en,4.0,False
['Argentina'],[],['en'],Canada,friendly,en,5.0,True
['Argentina'],[],['en'],Argentina,charismatic,en,5.0,True
['Argentina'],[],['en'],Argentina,futbol fan,en,5.0,False
['Argentina'],[],['en'],Argentina,asado,en,5.0,False
['Argentina'],[],['en'],Uruguay,asado,en,5.0,True
['Argentina'],[],['en'],Argentina,noisy,en,5.0,True
['Argentina'],[],['en'],Argentina,arrogant,en,5.0,False
['Argentina'],[],['en'],United States,arrogant,en,5.0,True
['Argentina'],[],['en'],Argentina,tango dancers,en,5.0,True
['Argentina'],[],['en'],Argentina,drink mate,en,,False
['Argentina'],[],['en'],Uruguay,drink mate,en,5.0,True
['Argentina'],[],['en'],Argentina,bad humor,en,5.0,True
['Argentina'],[],['en'],Argentina,friendly,en,3.0,False
['Argentina'],[],['en'],Brazil,friendly,en,5.0,True
['Argentina'],[],['en'],Argentina,large,en,1.0,False
['Argentina'],[],['en'],Bolivia,large,en,5.0,True
['Chile'],[],['en'],Chile,friendly,en,4.0,False
['Chile'],[],['en'],Brazil,friendly,en,5.0,True
['Chile'],[],['en'],Mexico,friendly,en,5.0,True
['Chile'],[],['en'],Malaysia,friendly,en,5.0,True
['Chile'],[],['en'],Chile,expensive,en,5.0,True
['Argentina'],[],['en'],Argentina,pedantic,en,5.0,False
['Argentina'],[],['en'],Argentina,noisy,en,3.0,False
['Argentina'],[],['en'],Argentina,liar,en,2.0,False
['Argentina'],[],['en'],South Korea,liar,en,5.0,True
['Argentina'],[],['en'],Japan,liar,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,True
['Uruguay'],[],['en'],Uruguay,play football,en,,False
['Uruguay'],[],['en'],Argentina,play football,en,5.0,True
['Uruguay'],[],['en'],United Kingdom,play football,en,5.0,True
['Uruguay'],[],['en'],Spain,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,diverse,en,4.0,False
['Argentina'],[],['en'],Mexico,diverse,en,5.0,True
['Argentina'],[],['en'],Argentina,futbol,en,5.0,True
['Argentina'],[],['en'],Argentina,asado,en,5.0,True
['Argentina'],[],['en'],Argentina,big ego,en,5.0,True
['Argentina'],[],['en'],Argentina,mate drink,en,5.0,False
['Argentina'],[],['en'],Uruguay,mate drink,en,5.0,True
['Argentina'],[],['en'],Argentina,tango,en,5.0,True
['Argentina'],[],['en'],Argentina,beef,en,5.0,True
['Argentina'],[],['en'],Argentina,instability,en,5.0,True
['Argentina'],[],['en'],Argentina,football,en,5.0,True
['Argentina'],[],['en'],Argentina,noisy,en,3.0,False
['Argentina'],[],['en'],Italy,noisy,en,5.0,True
['Ecuador'],[],['en'],Ecuador,andes mountains,en,,False
['Ecuador'],[],['en'],Ecuador,andes mountains,en,5.0,True
['Ecuador'],[],['en'],Ecuador,delicious food,en,5.0,True
['Ecuador'],[],['en'],Ecuador,beautiful places,en,5.0,True
['Ecuador'],[],['en'],Ecuador,bad government,en,5.0,True
['Ecuador'],[],['en'],Ecuador,insecurity,en,5.0,True
['Ecuador'],[],['en'],Ecuador,galapagos,en,5.0,True
['Ecuador'],[],['en'],Ecuador,high mountains,en,5.0,True
['Chile'],[],['en'],Chile,friendly,en,4.0,False
['Chile'],[],['en'],Cuba,friendly,en,5.0,True
['Argentina'],[],['en'],Argentina,fight,en,1.0,False
['Argentina'],[],['en'],United States,fight,en,5.0,True
['Argentina'],[],['en'],Argentina,beautiful,en,3.0,False
['Argentina'],[],['en'],Colombia,beautiful,en,5.0,True
['Argentina'],[],['en'],Argentina,inequality,en,4.0,False
['Mexico'],[],['en'],Mexico,coke,en,3.0,False
['Mexico'],[],['en'],United States,coke,en,5.0,True
['Mexico'],[],['en'],Mexico,creative problem solvers,en,5.0,True
['Mexico'],[],['en'],Mexico,happy,en,5.0,True
['Mexico'],[],['en'],Mexico,warm,en,5.0,True
['Mexico'],[],['en'],Mexico,party,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Peru,andes mountains,en,5.0,False
"['Peru', 'Brazil']",[],['en'],Argentina,andes mountains,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Chile,andes mountains,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Ecuador,andes mountains,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Peru,ceviche,en,5.0,True
['Nicaragua'],[],['en'],Canada,thankful,en,2.0,False
['Nicaragua'],[],['en'],Canada,cold people,en,5.0,True
['Argentina'],[],['en'],Argentina,charismatic,en,4.0,False
['Argentina'],[],['en'],Italy,charismatic,en,5.0,True
['Brazil'],[],['en'],Brazil,futbol,en,5.0,False
['Brazil'],[],['en'],Argentina,futbol,en,5.0,True
['Brazil'],[],['en'],France,futbol,en,5.0,True
['Brazil'],[],['en'],United Kingdom,futbol,en,5.0,True
['Brazil'],[],['en'],Chile,futbol,en,5.0,True
['Brazil'],[],['en'],Brazil,friendly,en,5.0,True
['Brazil'],[],['en'],Brazil,free healthcare,en,5.0,True
['Brazil'],[],['en'],Brazil,free universities,en,5.0,True
['Brazil'],[],['en'],Brazil,warm,en,5.0,True
['Brazil'],[],['en'],Brazil,dental health,en,5.0,True
['Argentina'],[],['en'],Argentina,bad humor,en,,False
['Argentina'],[],['en'],Argentina,attractive,en,5.0,True
['Uruguay'],[],['en'],Uruguay,play football,en,5.0,False
['Uruguay'],[],['en'],Brazil,play football,en,5.0,True
['Uruguay'],[],['en'],Argentina,play football,en,5.0,True
['Uruguay'],[],['en'],United Kingdom,play football,en,5.0,True
['Uruguay'],[],['en'],Uruguay,drink mate,en,5.0,True
['Argentina'],[],['en'],Argentina,instability,en,5.0,False
['Brazil'],[],['en'],Brazil,fun,en,5.0,False
['Brazil'],[],['en'],Colombia,fun,en,5.0,True
['Brazil'],[],['en'],Peru,fun,en,5.0,True
['Brazil'],[],['en'],Brazil,relaxed,en,5.0,True
['Argentina'],[],['en'],Argentina,loud,en,5.0,False
['Argentina'],[],['en'],Argentina,meat eater,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Brazil,friendly,en,5.0,False
"['Peru', 'Brazil']",[],['en'],South Africa,friendly,en,5.0,True
"['Peru', 'Brazil']",[],['en'],Brazil,hot,en,5.0,True
['Brazil'],[],['en'],Brazil,friendly,en,5.0,False
['Brazil'],[],['en'],Mexico,friendly,en,5.0,True
['Brazil'],[],['en'],Peru,friendly,en,5.0,True
['Brazil'],[],['en'],Thailand,friendly,en,5.0,True
['Brazil'],[],['en'],Italy,friendly,en,5.0,True
['Brazil'],[],['en'],Cuba,friendly,en,5.0,True
['Brazil'],[],['en'],Canada,friendly,en,5.0,True
['Brazil'],[],['en'],Brazil,hot,en,5.0,True
['Brazil'],[],['en'],Brazil,clean,en,5.0,True
['Brazil'],[],['en'],Brazil,naughty,en,5.0,True
['Argentina'],[],['en'],Argentina,beautiful,en,3.0,False
['Argentina'],[],['en'],Costa Rica,beautiful,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,True
['Argentina'],[],['en'],Argentina,mate,en,5.0,False
['Argentina'],[],['en'],Uruguay,mate,en,5.0,True
['Argentina'],[],['en'],Argentina,loud,en,3.0,False
['Argentina'],[],['en'],Argentina,andes mountains,en,4.0,False
['Argentina'],[],['en'],Chile,andes mountains,en,5.0,True
['Costa Rica'],[],['en'],Ethiopia,poor,en,2.0,False
['Costa Rica'],[],['en'],Afghanistan,poor,en,5.0,True
['Costa Rica'],[],['en'],El Salvador,poor,en,5.0,True
['Costa Rica'],[],['en'],Haiti,poor,en,5.0,True
['Costa Rica'],[],['en'],Ethiopia,coffee,en,5.0,True
['Argentina'],[],['en'],Argentina,inequality,en,5.0,False
['Argentina'],[],['en'],Bangladesh,inequality,en,5.0,True
['Argentina'],[],['en'],Argentina,friendship,en,5.0,True
['Argentina'],[],['en'],Argentina,generous,en,5.0,False
['Argentina'],[],['en'],Colombia,generous,en,5.0,True
['Argentina'],[],['en'],Argentina,passionate,en,5.0,True
['Argentina'],[],['en'],Argentina,big ego,en,3.0,False
['Argentina'],[],['en'],Brazil,big ego,en,5.0,True
['Argentina'],[],['en'],Argentina,generous,en,5.0,True
['Brazil'],[],['en'],Brazil,delicious food,en,,False
['Cuba'],[],['en'],Cuba,comunism,en,4.0,False
['Cuba'],[],['en'],China,comunism,en,5.0,True
['Cuba'],[],['en'],Cuba,cigar,en,5.0,True
['Argentina'],[],['en'],Argentina,noisy,en,5.0,False
['Argentina'],[],['en'],Argentina,messi,en,5.0,True
['Argentina'],[],['en'],Argentina,meat eater,en,5.0,False
['Mexico'],[],['en'],Mexico,tacos,en,5.0,False
['Mexico'],[],['en'],Mexico,spicy,en,5.0,True
['Uruguay'],[],['en'],Uruguay,asado,en,5.0,False
['Uruguay'],[],['en'],Argentina,asado,en,5.0,True
['Uruguay'],[],['en'],Uruguay,mate,en,5.0,True
['Uruguay'],[],['en'],Uruguay,tortafrita,en,5.0,True
['Argentina'],[],['en'],Argentina,attractive,en,,False
['Argentina'],[],['en'],Colombia,attractive,en,5.0,True
['Argentina'],[],['en'],France,attractive,en,5.0,True
['Argentina'],[],['en'],Italy,attractive,en,5.0,True
['Argentina'],[],['en'],Argentina,inequality,en,3.0,False
['Argentina'],[],['en'],Brazil,inequality,en,5.0,True
['Argentina'],[],['en'],Argentina,melancholic,en,5.0,True
['Uruguay'],[],['en'],Uruguay,stealing from other people's cultures,en,1.0,False
['Uruguay'],[],['en'],Argentina,stealing from other people's cultures,en,5.0,True
['Uruguay'],[],['en'],Uruguay,mate,en,5.0,True
['Uruguay'],[],['en'],Uruguay,gardel,en,5.0,True
['Uruguay'],[],['en'],Uruguay,futbol,en,5.0,True
['Nicaragua'],[],['en'],United States,eat asado,en,1.0,False
['Nicaragua'],[],['en'],Argentina,eat asado,en,5.0,True
['Nicaragua'],[],['en'],United States,junk food,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Costa Rica,friendly,en,4.0,False
"['Colombia', 'Costa Rica']",[],['en'],Colombia,friendly,en,5.0,True
"['Colombia', 'Costa Rica']",[],['en'],Costa Rica,calm,en,5.0,True
['Argentina'],[],['en'],Argentina,football,en,,False
['Argentina'],[],['en'],Brazil,football,en,5.0,True
['Argentina'],[],['en'],Argentina,big ego,en,2.0,False
['Argentina'],[],['en'],United States,big ego,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,True
['Argentina'],[],['en'],Argentina,tango,en,5.0,False
['Argentina'],[],['en'],France,tango,en,5.0,True
['Argentina'],[],['en'],Argentina,beef,en,4.0,False
['Argentina'],[],['en'],Argentina,friendly,en,5.0,True
['Argentina'],[],['en'],Argentina,beef,en,,False
['Argentina'],[],['en'],United States,beef,en,5.0,True
['Argentina'],[],['en'],Argentina,mate,en,5.0,True
['Argentina'],[],['en'],Argentina,melancholic,en,1.0,False
['Argentina'],[],['en'],Ireland,melancholic,en,5.0,True
['Argentina'],[],['en'],Argentina,friendship,en,5.0,False
['Argentina'],[],['en'],Colombia,friendship,en,5.0,True
['Argentina'],[],['en'],Argentina,messi,en,5.0,False
['Argentina'],[],['en'],Argentina,messi,en,5.0,False
['Argentina'],[],['en'],Spain,messi,en,5.0,True
['Argentina'],[],['en'],Argentina,play football,en,5.0,True
['Argentina'],[],['en'],Argentina,eat asado,en,5.0,True
['Argentina'],[],['en'],Argentina,maradona,en,5.0,True
['Chile'],[],['en'],Chile,i speak spanish,en,5.0,False
['Chile'],[],['en'],Argentina,i speak spanish,en,5.0,True
['Uruguay'],[],['en'],Uruguay,drink mate,en,5.0,False
['Uruguay'],[],['en'],Argentina,drink mate,en,5.0,True
['Uruguay'],[],['en'],Paraguay,drink mate,en,5.0,True
['Uruguay'],[],['en'],Chile,drink mate,en,5.0,True
['Uruguay'],[],['en'],Uruguay,vacas,en,5.0,True
['Uruguay'],[],['en'],Uruguay,gardel,en,5.0,True
['Mexico'],[],['en'],Mexico,friendly,en,5.0,False
['Mexico'],[],['en'],Colombia,friendly,en,5.0,True
['Mexico'],[],['en'],Brazil,friendly,en,5.0,True
['Argentina'],[],['en'],Argentina,football,en,5.0,False
['Argentina'],[],['en'],Argentina,public health,en,5.0,True
['Argentina'],[],['en'],Argentina,generous,en,3.0,False
['Argentina'],[],['en'],Brazil,generous,en,5.0,True
['Argentina'],[],['en'],Argentina,futbol,en,5.0,True
['Argentina'],[],['en'],Argentina,dulce de leche,en,5.0,True
['Argentina'],[],['en'],Argentina,mate,en,5.0,True
['Argentina'],[],['en'],Argentina,asado,en,5.0,True
['Argentina'],[],['en'],Argentina,football,en,5.0,False
['Argentina'],[],['en'],Brazil,football,en,5.0,True
['Argentina'],[],['en'],Uruguay,football,en,5.0,True
['Argentina'],[],['en'],United Kingdom,football,en,5.0,True
['Argentina'],[],['en'],Argentina,tango,en,5.0,False
['Argentina'],[],['en'],Argentina,lots of climates,en,5.0,True
['Argentina'],[],['en'],Argentina,tango dancers,en,5.0,False
